date,ticker,open,high,low,close,adj_close,volume,ret_5d,ret_20d,ma_20,ma_50,ma_20_prev,ma_50_prev,low_10,high_10,high_20,atr_14,atr_pct,high_252,distance_from_52w_high,volume_ratio_20d,extension_vs_ma20,extension_vs_ma50,close_above_ma20,days_above_ma20_15,benchmark_ret_20d,rs_20d,trend_score,momentum_score,rs_score,proximity_score,risk_penalty,extension_penalty,refined_score,is_benchmark,sector,next_earnings_date,days_to_earnings,event_risk,strategy_id,strategy_name,basis_type,action_label,horizon,entry_label,entry_value,stop_label,stop_value,target_label,target_value,strategy_rationale,observed_reason,action_rank
2026-05-22,GS,994.6300048828124,1005.3599853515624,990.9000244140624,996.72998046875,996.72998046875,1923500,0.05088195858203992,0.07532555409599828,942.2514953613281,896.0685974121094,933.2124969482422,881.1969995117188,920.7999877929688,1005.3599853515624,1005.3599853515624,25.132145472935253,0.025214597699886494,996.72998046875,0.0,1.0103556861725458,0.057817350649606386,0.1123366931363912,1,13.0,0.044401507267598284,0.030924046828399998,3,2,2,1,0,0,8,False,Financials,2026-07-14,53.0,Low,strong-stock-constructive-pullback,Constructive pullback continuation,Setup family,Buy now,1-3 weeks,Buy this week,$984-$997,Exit if close <,$896,Take profit near,$1041,"We want stocks that are already leaders, but only when the pullback has cooled enough to give us a defined risk point instead of forcing a chase.","Trend is intact, relative strength is strong, and the stock is only modestly extended above support.",0
2026-05-22,JPM,304.67999267578125,307.45001220703125,303.8399963378906,306.3800048828125,306.3800048828125,5973900,0.028776761675143536,-0.0061632084598670644,305.4495025634766,301.6572009277344,308.20899963378906,300.2722009277344,293.6700134277344,307.45001220703125,316.29998779296875,6.188572474888393,0.020199008996215222,334.6099853515625,0.08436682019243924,0.7465662563649463,0.00304633764837297,0.015656194980770657,1,2.0,0.044401507267598284,-0.05056471572746535,3,1,0,1,0,0,5,False,Financials,2026-07-14,53.0,Low,wait-for-confirmation,Breakout confirmation,Setup family,Wait for confirmation,Wait this week,Only buy above,$307,Cancel if close <,$299,If breakout sticks,$315,"The chart is not broken, but it also is not giving us enough proof yet. We would rather pay a little higher after confirmation than buy a flat or indecisive setup.","Trend is intact, but relative strength or momentum confirmation is still too weak for a clean immediate entry.",2
2026-05-22,LLY,1049.81005859375,1070.3399658203125,1047.0699462890625,1065.0,1065.0,3470600,0.059785871623188935,0.20480561736641967,973.8960021972656,943.3312036132812,944.4455047607422,940.17400390625,943.260009765625,1070.3399658203125,1070.3399658203125,28.905718122209773,0.02714151936357725,1109.93994140625,0.04048862441089639,1.0062130889460363,0.09354592030071913,0.12897781385868046,1,15.0,0.044401507267598284,0.16040411009882138,3,2,2,1,0,1,7,False,Healthcare,2026-08-05,75.0,Low,extended-strength-wait,"Extended strength, wait for pullback",Setup family,Buy on pullback,Wait this week,Only buy near,$974,Cancel if close <,$945,If trend resets,$1094,A strong stock can still be a bad immediate buy if the entry is too extended above support.,"The stock is acting well, but it has already run far enough above the 20-day average that patience matters more than enthusiasm.",1
2026-05-22,MA,499.1099853515625,504.260009765625,497.3200073242187,498.5400085449219,498.5400085449219,1959300,0.008781862061291168,-0.011166877705668043,500.09400177001953,501.8414007568359,502.24500274658203,502.9293994140625,488.010009765625,512.9000244140625,534.2100219726562,10.473567417689749,0.021008479235716162,598.9600219726562,0.16765728887381193,0.5089163611428216,-0.0031074022475724434,-0.00657855690450242,0,1.0,0.044401507267598284,-0.05556838497326633,0,1,0,0,0,0,1,False,Financials,2026-07-30,69.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$491,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,META,607.8800048828125,614.8099975585938,606.9500122070312,610.260009765625,610.260009765625,11671600,-0.006463329419536534,-0.09595131582326166,619.1049987792969,617.8139990234375,634.7114990234375,621.8707983398438,592.5999755859375,623.72998046875,682.5,13.097861153738839,0.021462755127554845,790.0,0.22751897498022153,0.7215075276547698,-0.014286734933673257,-0.012226963567923235,0,0.0,0.044401507267598284,-0.14035282309085995,1,0,0,0,0,0,1,False,Communication Services,2026-07-29,68.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$600,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,MSFT,419.5400085449219,424.3999938964844,416.3299865722656,418.5700073242187,418.5700073242187,22341900,-0.007939908032093101,-0.014248004951578186,416.6134994506836,400.44099975585937,417.40549926757814,399.06479919433593,400.8800048828125,432.7000122070313,432.7000122070313,10.872863769531259,0.025976213248144378,542.0700073242188,0.22783035093497284,0.6540320029812424,0.004696218140110193,0.0452726059005252,1,10.0,0.044401507267598284,-0.05864951221917647,3,0,0,0,0,0,3,False,Technology,2026-07-29,68.0,Low,wait-for-confirmation,Breakout confirmation,Setup family,Wait for confirmation,Wait this week,Only buy above,$433,Cancel if close <,$406,If breakout sticks,$446,"The chart is not broken, but it also is not giving us enough proof yet. We would rather pay a little higher after confirmation than buy a flat or indecisive setup.","Trend is intact, but relative strength or momentum confirmation is still too weak for a clean immediate entry.",2
2026-05-22,NFLX,89.0999984741211,89.97000122070312,88.16999816894531,88.5999984741211,88.5999984741211,23790900,0.018156767317923928,-0.04154050049619107,89.19749946594239,93.68199981689453,90.2444995880127,94.45219970703126,85.0999984741211,91.4800033569336,94.6999969482422,2.407858167375838,0.027176729219460904,133.91299438476562,0.33837639221514926,0.7100301923022686,-0.00669862939430753,-0.05424736184866278,0,0.0,0.044401507267598284,-0.08594200776378935,0,1,0,0,0,0,1,False,Communication Services,2026-07-16,55.0,Low,no-action,No actionable setup,Decision basis,No action,Wait this week,Stand aside,No fresh entry,Reassess if close <,$87,Need first,Cleaner setup,"The chart is missing either strong relative strength, clean support, or acceptable timing.",Setup quality is not yet strong enough to justify fresh capital.,5
2026-05-22,NOW,102.18000030517578,104.58999633789062,99.43000030517578,102.12999725341795,102.12999725341795,23542800,0.07426104534823197,0.13263834232384042,93.52900009155273,98.11400009155274,91.90449981689453,99.73619995117187,85.44000244140625,110.83000183105467,110.83000183105467,5.6149989536830365,0.05497893963269563,208.93800354003903,0.5111947299053872,0.8548687865302647,0.09196075178229175,0.040931948122773336,1,7.0,0.044401507267598284,0.08823683505624214,2,2,2,0,0,1,5,False,Software,2026-07-22,61.0,Low,trend-hold,Trend hold / monitor,Decision basis,Hold,1-2 weeks,Keep only if close >,$91,Do not add,Yet,Need first,Cleaner catalyst,"The stock is still functioning, but the timing case for fresh money is not strong enough yet.","Price is above near-term support, though the edge for a new position remains modest.",3
2026-05-22,NVDA,220.8999938964844,221.0099945068359,214.8000030517578,215.3300018310547,215.3300018310547,168346300,-0.044336965952558205,0.03389829266704081,214.74550094604493,196.80779998779298,210.3010009765625,193.07119995117188,213.88999938964844,236.5399932861328,236.5399932861328,8.285714285714292,0.03847914463965483,235.7400054931641,0.08657844738491467,1.0353083578587705,0.0027218306434117867,0.09411314919637613,1,14.0,0.044401507267598284,-0.010503214600557476,3,1,0,1,0,0,5,False,Semiconductors,2026-05-20,-2.0,Low,wait-for-confirmation,Breakout confirmation,Setup family,Wait for confirmation,Wait this week,Only buy above,$237,Cancel if close <,$206,If breakout sticks,$246,"The chart is not broken, but it also is not giving us enough proof yet. We would rather pay a little higher after confirmation than buy a flat or indecisive setup.","Trend is intact, but relative strength or momentum confirmation is still too weak for a clean immediate entry.",2
2026-05-22,PANW,251.1199951171875,261.4100036621094,249.5,260.5799865722656,260.5799865722656,6626100,0.07309634150379907,0.459504852532695,212.41949996948242,183.9776007080078,193.90100021362304,175.59640075683595,205.6499938964844,261.4100036621094,261.4100036621094,11.693574087960371,0.04487518109805965,260.5799865722656,0.0,0.8417777681792226,0.22672347223160896,0.41636800115593436,1,15.0,0.044401507267598284,0.41510334526509673,3,2,2,1,0,1,7,False,Cybersecurity,2026-06-02,11.0,Medium,extended-strength-wait,"Extended strength, wait for pullback",Setup family,Buy on pullback,Wait this week,Only buy near,$212,Cancel if close <,$201,If trend resets,$272,A strong stock can still be a bad immediate buy if the entry is too extended above support.,"The stock is acting well, but it has already run far enough above the 20-day average that patience matters more than enthusiasm.",1
