variant_id,variant_name,ticker,sample_size,avg_fwd_15d_return,avg_excess_15d_return,win_rate_15d
leadership_quality,Leadership-Quality Breakout,ORCL,18,0.025063991611725882,0.005218772714938739,0.4444444444444444
leadership_quality,Leadership-Quality Breakout,RTX,18,0.022277648249335837,0.0227769314093439,0.6666666666666666
leadership_quality,Leadership-Quality Breakout,ABBV,17,0.019783016609093606,0.03438132828080673,0.6470588235294118
leadership_quality,Leadership-Quality Breakout,GM,17,0.008352362152304537,0.00016825683106939693,0.5294117647058824
leadership_quality,Leadership-Quality Breakout,TMO,17,-0.010282594353609871,-0.015028349696166217,0.6470588235294118
leadership_quality,Leadership-Quality Breakout,AVGO,16,0.060701610852247755,0.04833370798749983,0.75
leadership_quality,Leadership-Quality Breakout,COF,16,-0.010996646657184382,-0.013419993299600134,0.375
leadership_quality,Leadership-Quality Breakout,LRCX,16,0.002069749799159609,-0.004489833215793763,0.375
leadership_quality,Leadership-Quality Breakout,ACN,15,-0.005164496492304897,-0.007922990720404402,0.4666666666666667
leadership_quality,Leadership-Quality Breakout,LOW,15,0.014711083239425101,-0.002718721984465544,0.6666666666666666
leadership_quality,Leadership-Quality Breakout,BLK,14,0.019976731405512,0.009338285536313265,0.7857142857142857
leadership_quality,Leadership-Quality Breakout,BKNG,13,0.004304842629489021,-0.00938389864240979,0.6923076923076923
leadership_quality,Leadership-Quality Breakout,FDX,13,0.024746197602741667,0.018402522829861895,0.7692307692307693
leadership_quality,Leadership-Quality Breakout,AMZN,12,-0.03435698672581991,-0.04645582687470534,0.25
leadership_quality,Leadership-Quality Breakout,DHR,12,0.02280728954431348,0.02728519171923227,0.6666666666666666
leadership_quality,Leadership-Quality Breakout,MA,12,-0.005220843199004954,-0.01127528456815611,0.4166666666666667
leadership_quality,Leadership-Quality Breakout,LLY,11,0.004036502284553666,0.0030295418806545486,0.5454545454545454
leadership_quality,Leadership-Quality Breakout,NVDA,11,0.11298080774231006,0.09646365414275491,0.9090909090909091
leadership_quality,Leadership-Quality Breakout,V,11,-0.016368219784417434,-0.010485011274445415,0.36363636363636365
leadership_quality,Leadership-Quality Breakout,MRK,10,0.011641650825167216,0.02141285058891066,0.7
leadership_quality,Leadership-Quality Breakout,TXN,10,-0.005219888584092935,-0.016919586357051375,0.5
leadership_quality,Leadership-Quality Breakout,USB,10,-0.008848362463142512,-0.022095432381650702,0.3
leadership_quality,Leadership-Quality Breakout,XOM,10,0.04112352230333292,0.0623206335504783,0.7
leadership_quality,Leadership-Quality Breakout,ADBE,9,-0.015320924259023785,-0.012234517709740735,0.3333333333333333
leadership_quality,Leadership-Quality Breakout,AMAT,9,-0.025190763216536682,-0.02835152464635287,0.4444444444444444
leadership_quality,Leadership-Quality Breakout,AMGN,9,-0.007327187737301701,-0.01288025685740626,0.6666666666666666
leadership_quality,Leadership-Quality Breakout,HD,9,0.004152683467293682,-0.009810076501633076,0.6666666666666666
leadership_quality,Leadership-Quality Breakout,QCOM,9,0.016710685400310968,-0.008682907262645177,0.5555555555555556
leadership_quality,Leadership-Quality Breakout,UBER,9,0.0762192678410289,0.06228904701869314,0.8888888888888888
leadership_quality,Leadership-Quality Breakout,BRK-B,8,-0.011130339550310758,-0.009895170853223598,0.25
leadership_quality,Leadership-Quality Breakout,CVS,8,0.010468145172282756,0.0008042654866153298,0.625
leadership_quality,Leadership-Quality Breakout,DE,8,0.0035134206396334883,0.010584503040576357,0.5
leadership_quality,Leadership-Quality Breakout,GD,8,-0.019431310188424658,-0.0057745512548025985,0.125
leadership_quality,Leadership-Quality Breakout,JNJ,8,0.005923632535581244,0.013606566165958345,0.625
leadership_quality,Leadership-Quality Breakout,UNH,8,-0.002903396772338626,0.011700331079226023,0.625
leadership_quality,Leadership-Quality Breakout,ABT,7,-0.033945758327116056,-0.019272441739550752,0.2857142857142857
leadership_quality,Leadership-Quality Breakout,GILD,7,0.02532254788748031,0.046025592952177195,0.7142857142857143
leadership_quality,Leadership-Quality Breakout,HON,7,0.02520240028381488,0.02530957708137969,0.5714285714285714
leadership_quality,Leadership-Quality Breakout,MCD,7,0.003782924024737725,-0.0038444368019558656,0.7142857142857143
leadership_quality,Leadership-Quality Breakout,NKE,7,-0.04217177738789938,-0.05272863505024212,0.14285714285714285
leadership_quality,Leadership-Quality Breakout,BMY,6,0.01597511976643508,0.01555542800050221,0.8333333333333334
leadership_quality,Leadership-Quality Breakout,GEV,6,0.1797586135656791,0.16901918601822544,1.0
leadership_quality,Leadership-Quality Breakout,PFE,6,0.037771917497647245,0.04001548481926037,0.5
leadership_quality,Leadership-Quality Breakout,SBUX,6,-0.05335595839428564,-0.05684968528471005,0.0
leadership_quality,Leadership-Quality Breakout,UNP,6,-0.0285957555381889,-0.026092836460782958,0.3333333333333333
leadership_quality,Leadership-Quality Breakout,COP,5,-0.023191690196750426,-0.023294874864640835,0.2
leadership_quality,Leadership-Quality Breakout,MDT,5,-0.004097977251692808,-0.021777490239416088,0.4
leadership_quality,Leadership-Quality Breakout,MMM,5,-0.007494770159064812,-0.015620068498705675,0.4
