signal_date,holding_end_date,selected_tickers,selected_strategies,portfolio_return_1w,spy_return_1w,excess_return_1w
2024-04-26,2024-05-03,"GE,GS","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.017827678703020156,0.005961513243377459,0.011866165459642697
2024-05-03,2024-05-10,"GS,GE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.016660849397712396,0.018678280723156027,-0.0020174313254436305
2024-05-10,2024-05-17,"GOOGL,GE","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.011287947266998388,0.01653095942634164,-0.005243012159343252
2024-05-17,2024-05-24,"GOOGL,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.005707081146501702,-1.890596920239851e-05,0.005725987115704101
2024-05-24,2024-06-03,"AAPL,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.014154038357891752,-0.0030976402252850255,0.017251678583176777
2024-05-31,2024-06-07,"NFLX,AAPL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.011950731841605944,0.012590808559296285,-0.000640076717690341
2024-06-07,2024-06-14,"LLY,WMT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.025393476991592334,0.01642294970294489,0.008970527288647445
2024-06-14,2024-06-24,"NFLX,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.004657308608248201,-7.37666464107889e-05,-0.004583541961837412
2024-06-21,2024-06-28,"PLTR,LLY","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.04341227940542769,-0.0005326606624271868,0.043944940067854876
2024-06-28,2024-07-08,"LLY,AAPL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.04780130631900237,0.02032277238826885,0.027478533930733517
2024-07-05,2024-07-12,"AVGO,AMZN","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.014549925413247566,0.009645852164720914,-0.02419577757796848
2024-07-12,2024-07-19,"LLY,AAPL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.061450406707797944,-0.019643208256983513,-0.04180719845081443
2024-07-19,2024-07-26,"GS,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.02040148866396474,-0.008287924869133323,0.028689413533098063
2024-07-26,2024-08-02,"GS,CAT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.070687257161898,-0.021196050943346534,-0.049491206218551465
2024-08-02,2024-08-09,"XLV,XOM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.0055108247749436345,0.00016882307410548414,0.00534200170083815
2024-08-09,2024-08-16,"ABBV,NOW","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.020610485200568407,0.04000076495778759,-0.019390279757219187
2024-08-16,2024-08-23,"ABBV,NOW","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.009841104848361204,0.014107642580255098,-0.0042665377318938935
2024-08-23,2024-08-30,"META,ABBV","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.009473689402454022,0.0027573475521767143,-0.012231036954630736
2024-08-30,2024-09-09,"LLY,NFLX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.04543835634090537,-0.03063798565790754,-0.014800370682997832
2024-09-06,2024-09-13,"WMT,V","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.04011722201734702,0.04006592827182942,5.129374551759991e-05
2024-09-13,2024-09-20,"WMT,V","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.014042684142438588,0.011102987715427393,-0.02514567185786598
2024-09-20,2024-09-27,"V,XLF","strong-stock-constructive-pullback,broad-market-trend-hold",-0.022440404436748163,0.005666468461284602,-0.028106872898032764
2024-09-27,2024-10-04,"PLTR,AMZN","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.03914024576939329,0.002642325656704525,0.036497920112688764
2024-10-04,2024-10-11,"AVGO,NVDA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.053245499961898646,0.011518790963157777,0.04172670899874087
2024-10-11,2024-10-18,"CAT,CRM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.0017488990247024883,0.00864420721539183,-0.010393106240094319
2024-10-18,2024-10-25,"CRM,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.011021798310040354,-0.009493916374144984,-0.00152788193589537
2024-10-25,2024-11-01,"NOW,PANW","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.009097273033018938,-0.013815971787050296,0.0047186987540313585
2024-11-01,2024-11-08,"AMZN,NFLX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.051643536750884955,0.047544875067858205,0.00409866168302675
2024-11-08,2024-11-15,"NFLX,NVDA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.0009479055312798801,-0.020796072135332522,0.01984816660405264
2024-11-15,2024-11-22,"NOW,NFLX","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.06912979684815657,0.01666241530623136,0.05246738154192521
2024-11-22,2024-12-02,"JPM,V","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.006230766971832502,0.013635362939379059,-0.007404595967546557
2024-11-29,2024-12-06,"GS,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.012029313229491356,0.008729582395132773,-0.02075889562462413
2024-12-06,2024-12-13,"COST,AAPL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.00924982274790892,-0.0059228633954651055,0.015172686143374026
2024-12-13,2024-12-20,"AAPL,WMT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.002152722324085865,-0.02161499658008781,0.023767718904173674
2024-12-20,2024-12-30,"AAPL,AMZN","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.012546506078231101,-0.0049565314893486034,-0.007589974588882498
2024-12-27,2025-01-06,"GOOGL,AAPL","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.010055838699272623,0.000588184366974609,-0.010644023066247232
2025-01-03,2025-01-13,"GOOGL,PLTR","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.0953492561220517,-0.017839340047011376,-0.07750991607504032
2025-01-10,2025-01-17,"META,WMT","strong-stock-constructive-pullback,wait-for-confirmation",-0.008207570954714749,0.029440691731081436,-0.037648262685796186
2025-01-17,2025-01-27,"QQQ,V","broad-market-trend-hold,wait-for-confirmation",0.016124030177245396,0.00299537798479399,0.013128652192451407
2025-01-24,2025-01-31,"META,AVGO","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.01568138478686898,-0.010115570957877629,-0.005565813828991351
2025-01-31,2025-02-07,"GS,JPM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.028001549754604116,-0.001744687415157764,0.02974623716976188
2025-02-07,2025-02-14,"JPM,GS","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.004976932425260316,0.01486424486153437,-0.009887312436274054
2025-02-14,2025-02-24,"GE,WMT","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.07278758483334702,-0.02048546823734332,-0.0523021165960037
2025-02-21,2025-02-28,"LLY,COST","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.03342928751263252,-0.009600976334608657,0.04303026384724118
2025-02-28,2025-03-07,"V,MA","strong-stock-constructive-pullback,strong-stock-constructive-pullback",-0.049600847176400675,-0.03073144500102465,-0.018869402175376027
2025-03-07,2025-03-14,"XLV,ABBV","strong-stock-constructive-pullback,extended-strength-wait",-0.020449813205959455,-0.02276355351539805,0.0023137403094385944
2025-03-14,2025-03-21,"ABBV,XOM","strong-stock-constructive-pullback,strong-stock-constructive-pullback",0.011930309204747802,0.0020788239640936457,0.009851485240654156
