variant_id,variant_name,year,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,2026,1,0.08026588110763178,0.2348433071542786,0.22471133837639523,0.07487934523153017,0.2174146633071452,0.21235928976876828,1.0
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,2023,1,-0.11057687899064572,0.1298076878990646,0.19831738374113606,-0.09775910731915305,0.0984123956872962,0.1390675529590626,1.0
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,2026,1,0.010253564426996542,-0.011684295757326546,0.0014307313303294489,0.0044064826281360325,-0.005646699912214337,0.02100895648716361,0.0
defensive_v1,Defensive v1 Oversold Rebound,2022,67,-0.001960607487923012,-0.014563532571524727,-0.005410127041311258,0.001827201150819601,0.006339695818002298,0.012718431680032928,0.34328358208955223
defensive_v1,Defensive v1 Oversold Rebound,2025,27,0.004399740656698072,-0.0023043776580002856,0.007081519822191168,-0.0055440542942723015,-0.005457671672902758,0.007848817528310693,0.6296296296296297
defensive_v1,Defensive v1 Oversold Rebound,2024,26,0.024881059797716692,0.047359482112695035,0.07991455070930023,0.006769923002586087,0.024208544219471193,0.04318320050925196,0.6923076923076923
defensive_v1,Defensive v1 Oversold Rebound,2023,14,-0.004266864460290652,-0.005631361621011625,-0.011790473719448644,-0.002788520144057568,-0.003548776640282628,-0.01171182969761537,0.5
defensive_v1,Defensive v1 Oversold Rebound,2021,11,0.018417006425535686,0.008952487603227007,0.010008362694024074,0.0018898880697412494,-0.016320123573986135,-0.027109134948105983,0.5454545454545454
defensive_v1,Defensive v1 Oversold Rebound,2026,5,0.027226846031887564,0.06969733133222877,0.049823142949921274,0.027698005874774556,0.06709163647953367,0.058313502512137336,0.6
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,2022,5,-0.008273554091944213,-0.02730723179043182,0.005512499887731126,-0.008633218980847545,-0.01750474438500711,-0.00604036852107317,0.2
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,2024,2,0.031854913444310684,0.05367561628928852,0.0881019497181571,-0.00623749809124563,-0.016323399480142498,0.012625609007926086,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,2025,2,0.026359308981717067,0.0580858785488132,0.047504265594932316,0.007384430167983569,0.048507683692438575,0.08281613213945077,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,2021,1,0.02514983201465637,0.04943192110803807,0.10296175892808157,0.0029659556835925915,0.01829992480024245,0.04598738959670334,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,2023,1,0.008689801586202917,0.022631733093591233,-0.05996942996650134,-0.008588602668314849,-0.012171924827510283,-0.08346803263461433,1.0
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,2022,2,0.009620113129054642,-0.029174445218263567,-0.04889092640047282,0.05761732887782506,0.006088323859765821,0.031052136842634026,0.0
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,2025,1,0.030344772089795136,0.08884286265801222,0.11300213935319325,0.009885583278969712,0.0722124126939041,0.0853734148704497,1.0
stress_v1,Stress-Regime v1 Oversold Rebound,2022,68,-0.0006303691911349998,-0.012218310747619174,-0.001410082458354342,0.0027214220421081384,0.007351890086633132,0.015369739633229322,0.35294117647058826
stress_v1,Stress-Regime v1 Oversold Rebound,2025,29,0.005482586490036599,0.0013684282713737148,0.012164926562439053,-0.0046345871133960225,-0.0038765118374953587,0.010767815550104068,0.6551724137931034
stress_v1,Stress-Regime v1 Oversold Rebound,2024,26,0.024881059797716692,0.047359482112695035,0.07991455070930023,0.006769923002586087,0.024208544219471193,0.04318320050925196,0.6923076923076923
stress_v1,Stress-Regime v1 Oversold Rebound,2023,15,-0.003718036593108128,-0.007167554393441174,-0.011553526421540727,-0.0035601773547622915,-0.005882424466474023,-0.014363063747231746,0.4666666666666667
