variant_id,variant_name,ticker,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,BRK-B,1,0.07212156383007984,0.06936095707641798,0.08243338775585052,-0.010721598946048516,-0.009071147061004092,-0.03450982396715774,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,C,1,-0.0015663391580947872,-0.015663391580948316,0.012083260955944919,0.015115433289084823,0.023504762558394954,0.04693587023050383,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,COP,1,0.1255339835453959,0.12912624322094945,0.17582524864419002,0.10782962065924484,0.1668289967543395,0.18130388407447817,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,COST,1,0.0032159424633131373,-0.04130963257398301,-0.05278337319122228,-0.01265543350639975,-0.023683239728242156,-0.028060611134640534,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,DIS,1,-0.027622187115525554,-0.05494941298361966,-0.07313479009041202,-0.02050890883102996,-0.032236873622715545,-0.0617784823258265,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,EMR,1,0.03292277622133333,-0.046335848710812866,-0.09962206542524266,0.007242961048134378,-0.018940622684666897,-0.02780429574572818,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,FDX,1,0.019955482157351767,0.056205560401018095,0.06327613724153158,-0.022294554361372843,0.008019477083116566,0.011076099745140233,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,GE,1,0.06123501021941813,0.15201389247856012,0.2749281911061374,0.057603609443910964,0.14217225030163094,0.2341408629441908,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,GS,1,0.040054879749755745,0.05306959499687758,0.031661292391004014,0.02485263687168704,0.03727022603023067,0.03833246336421958,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,INTC,1,0.03412068059804296,0.05161855965311957,0.06620006990830274,0.04550353996152667,0.05147975032228014,0.05738532437524846,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,JPM,1,0.03564986764842182,0.05681010128668906,0.04981136552438081,0.045026437916769746,0.04568910769801193,0.025785208672563176,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,LRCX,1,-0.04588654077077503,-0.0689052878494445,-0.09097572536349885,-0.011595248327122665,-0.03357120973969152,-0.04792976989540543,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,MO,1,-0.020701515320357022,0.044661719624932594,0.031627402411163796,-0.01336093085358192,0.01160365431992827,-0.014760965782011803,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,NFLX,1,-0.03405263415209059,-0.09138474579353562,-0.05541283588949408,-0.05099877864257185,-0.0602831811816793,-0.04538085278100723,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,NOW,1,0.018348964753645447,0.03461059218297491,0.10208410913310839,0.017313214548076106,0.03293035176810721,0.06074450515003971,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,PM,1,0.027532698271577116,-0.04041649188060581,-0.037886825528157586,0.042539133296704446,-0.005004972522971829,0.019060105893482837,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,SBUX,1,-0.07860633436049758,-0.08837343506241191,-0.08217505375792455,-0.05584278084509953,-0.06764138409055165,-0.04699653874399845,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,SCHW,1,-0.005113676031523795,-0.02758707427956586,-0.008747058509480543,-0.00015714454217519158,-0.023324163973932666,-0.011504404048674366,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,SPG,1,0.0025023368977030724,-0.0013169824011481923,0.023706085137933375,-0.017064808547114563,-0.02110276821511803,-0.005152708878619627,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,T,1,0.07223950394761158,0.09236331233445405,0.06295156210186681,0.010111881642902887,0.0483573899922094,0.022034266360114296,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,TSLA,1,0.08125266530565645,0.0944941625608251,-0.006602745943367627,0.055572850132457496,0.12188938858697107,0.06521502373614685,1.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,TXN,1,0.027563804345889675,-0.005416521036576416,-0.0293091614627059,0.0018839891726907254,0.021978704989569553,0.042508608216808574,0.0
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,USB,1,-0.03610211252839146,0.006243201446354263,-0.017372404641629147,-0.0440517144085818,-0.02741087058435876,-0.04474929400481653,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,GM,3,0.009723844865519434,-0.06881778328707529,-0.08026613715513069,-0.01589826555294238,-0.05942252196700618,-0.09119337796289755,0.3333333333333333
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,LRCX,3,0.029772831221739498,0.06796715251287304,0.11668437546791306,0.017326628846566255,0.05352857090085502,0.09048510354582229,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AMAT,2,0.0037844482555522974,0.06841744562138657,0.056974520940746565,0.018236826539327677,0.07737016275269637,0.0723214743709798,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AVGO,2,-0.007081915450101728,0.011542926139294363,0.05739571621222622,-0.006754147833866908,0.02828799723088593,0.0459354740361167,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,BA,2,-0.038795949612058234,-0.07394557904824112,-0.11433726936767857,-0.03135541311878115,-0.0724893706902291,-0.11435384493721779,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,CAT,2,0.03533968215917682,0.023973684728162303,0.04243301003096478,0.010982533825442231,0.0450399030073782,0.059066564403692956,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,COF,2,-0.0327873955029514,-0.053832271801387666,-0.038355527386237154,-0.03458024165751056,-0.03226920417965229,-0.014371948914937038,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,GS,2,0.0031043053927363173,-0.037578739598595534,-0.00952395257079408,-0.006287393619381743,-0.04258027911412954,-0.024210709936427988,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,INTU,2,0.0011416237791964656,0.019433311934306197,0.04006150382883339,0.008926717987147448,0.02050563572413938,0.03663366206823193,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,NKE,2,0.044280262269763504,0.07440407314494718,0.10293755607440169,0.06652393339789131,0.0935952668695848,0.10288595223824554,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,NOW,2,-0.0009060764911016372,-0.001353325846768061,0.08614076120023095,-0.006899989750331903,-0.015395169330904734,0.03607899496433897,0.5
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,PLTR,2,0.1861189486155847,0.3342263586729666,0.3537144167267048,0.15807463941272298,0.3285526873214902,0.3186743759222199,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,ABBV,1,0.005871079686422531,-0.0326100874911911,-0.030248821484920696,0.067574218740311,0.0025813725551147026,0.08659134953319958,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,ABT,1,-0.003368852297335967,0.039250975640808816,-0.021779996808134805,-0.01558782854253804,0.05293343959493113,0.08889622082246362,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AMD,1,-0.05591035012283685,-0.09379878665887742,-0.08088554674186854,-0.03922857767565724,-0.05463063251953415,-0.04603293746730963,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AMT,1,0.06883638553051963,0.012000767627226239,0.07334868587785626,0.06534796432675494,-0.03767706360844292,-0.007058480429733338,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AMZN,1,-0.036596314685985454,-0.030983382285095673,-0.037943363648406114,-0.002305022242333088,0.004350695824657302,0.005102591819687308,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,AXP,1,0.0560874702607701,0.07692078145681758,0.11678852799799944,0.030356688878505178,0.04408192778994602,0.07673604345643792,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,BNY,1,0.006111999767879794,0.0568760337408345,0.04363327042860998,-0.016782706052558716,0.04000623224594224,0.04549760139224701,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,CMCSA,1,0.006102820453373292,0.07468760202319391,0.12438241959980889,0.01629887026597654,0.07773591136271618,0.08123325645940316,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,COST,1,-0.017416301105292797,-0.11731163101490882,-0.22502169244111647,-0.045671408961936555,-0.05854874449236891,-0.16412585921291656,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,CVX,1,-0.11745752059754344,-0.12276936406777905,-0.1434198647664231,-0.11884843064125272,-0.14007484807345627,-0.18386171705373555,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,DIS,1,-0.10121824317760753,-0.1102867190388237,-0.12833191116441056,-0.038832473016959024,-0.05382036173424831,-0.054905068607157714,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,IBM,1,-0.008918420991808285,-0.0012032713081409074,0.030223699811403604,0.0012776288207949626,0.001845038031381363,-0.01292546332900213,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,ISRG,1,-0.00057293316836593,0.026050449359119154,-0.0185637340648227,0.009623116644237317,0.029098758698641425,-0.061712897205228434,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,JPM,1,-0.028053671030212057,-0.1193632428938054,-0.0760462432271769,-0.008744657518891863,-0.05936730615544239,-0.0299434172482137,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,LLY,1,-0.059267841552263945,-0.0735260186167811,-0.05437379811310816,-0.05632850552713642,-0.017206423246254987,-0.01965948799508621,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,LOW,1,0.05052104447879491,-0.020177753673283005,-0.03897624559729429,0.024841229305595958,0.007217472352862964,0.032841524082220186,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,MCD,1,0.018710656439923756,0.024213754763569018,0.0009338584926006366,0.01663183247583011,0.036917907932628724,0.10315307817394159,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,MO,1,-0.03676471963198236,0.026206624541017298,0.010369517865138844,-0.006669139872067853,-0.007498464834114538,-0.014697711283569559,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,MS,1,-0.055703951787583694,-0.1301030343740165,-0.08546359646564305,-0.0363949382762635,-0.07010709763565348,-0.03936077048667985,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,NVDA,1,0.027383206862321208,0.05166464587947317,0.08068526928402786,-0.010384136119221177,0.021968443604166055,0.040305939889439424,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,PM,1,-0.07363960016678761,-0.08655361364337866,-0.07679417121492071,-0.04170785767756591,-0.07769274229762935,-0.12240090838993334,0.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,QCOM,1,0.025378492862808022,0.11804285741228648,0.094419688916213,0.0066573888350576205,0.08485342688219988,0.04451804992691666,1.0
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,SBUX,1,0.008689801586202917,0.022631733093591233,-0.05996942996650134,-0.008588602668314849,-0.012171924827510283,-0.08346803263461433,1.0
