variant_id,variant_name,holding_days,active_weeks,active_share,total_trades,avg_trades_per_active_week,strategy_ann_return_net,spy_exposure_ann_return_net,ann_excess_vs_spy_exposure_net,spy_buy_hold_ann_return,ann_excess_vs_spy_buy_hold,strategy_max_drawdown,spy_exposure_max_drawdown,spy_buy_hold_max_drawdown,avg_week_return_net,avg_week_exposure_spy_net,avg_week_excess_net,win_rate_week,excess_win_rate_week,return_vol_week,excess_vol_week,sharpe_like_week,information_like_week
stress_v1,Stress-Regime v1 Oversold Rebound,10,67,0.24452554744525548,144,2.1492537313432836,0.013033411391745187,-0.0037228587265745183,0.016756270118319705,0.14272826501972635,-0.12969485362798117,-0.21630908898130474,-0.20253767941542677,-0.25360573583036905,0.0017382629185412571,-0.00014909410210873348,0.00188735702064999,0.5373134328358209,0.5373134328358209,0.038189873265579356,0.030571427800272655,0.04551633116069957,0.061735978868254146
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,15,2,0.0072992700729927005,2,1.0,0.012065853970905538,0.0022200026279239893,0.009845851342981549,0.14272826501972635,-0.13066241104882081,-0.0001897562232233696,-0.007192741718944795,-0.25360573583036905,0.03262468584524425,0.00594526760420655,0.0266794182410377,0.5,1.0,0.032814442068467765,0.019676432745316497,0.9942172954570556,1.3559072717278031
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,15,9,0.032846715328467155,11,1.2222222222222223,0.011687874210200677,0.005236982012485791,0.006450892197714886,0.14272826501972635,-0.13104039080952568,-0.04260632283281229,-0.037558739210199366,-0.25360573583036905,0.007082798131486761,0.0032455939679364404,0.00383720416355032,0.5555555555555556,0.7777777777777778,0.02271014338383162,0.022225907468060555,0.31187817759571373,0.1726455565004274
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,5,9,0.032846715328467155,11,1.2222222222222223,0.01149090503178396,0.020229513408327016,-0.008738608376543056,0.14272826501972635,-0.1312373599879424,-0.07563960016678761,-0.033931742489221706,-0.25360573583036905,0.007348086188174323,0.01200140528497705,-0.004653319096802728,0.6666666666666666,0.4444444444444444,0.03532498771842014,0.019034608714870636,0.2080138356097058,-0.24446623340186444
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,15,31,0.11313868613138686,44,1.4193548387096775,0.01126740494283518,0.0009868786964513099,0.01028052624638387,0.14272826501972635,-0.13146086007689117,-0.130778687910029,-0.07548462811445666,-0.25360573583036905,0.0022779781951078083,0.0002834970614560989,0.00199448113365171,0.5483870967741935,0.5161290322580645,0.027263252875261157,0.0226247505475174,0.08355489367062503,0.0881548342140976
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,10,9,0.032846715328467155,11,1.2222222222222223,0.010856380310834135,0.008029146577853252,0.0028272337329808828,0.14272826501972635,-0.13187188470889222,-0.08113272390471415,-0.03619138766892038,-0.25360573583036905,0.006686467308908265,0.004844881278378729,0.0018415860305295356,0.6666666666666666,0.5555555555555556,0.02616927714036168,0.020051636750099,0.2555082921490224,0.09184217994176676
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,10,2,0.0072992700729927005,2,1.0,0.010507839317540402,0.0020068173577165727,0.008501021959823829,0.14272826501972635,-0.13222042570218595,-0.006842147878663218,-0.0040187979225561055,-0.25360573583036905,0.028530848035434514,0.005339424091664047,0.023191423943770467,0.5,0.5,0.03537299591409779,0.026014773899877636,0.8065714338904396,0.8914712860095068
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,5,3,0.010948905109489052,3,1.0,0.008216761052165067,-0.015908224369523327,0.024124985421688394,0.14272826501972635,-0.13451150396756129,0.0,-0.03629129244365237,-0.25360573583036905,0.014528332782634804,-0.02717841422890514,0.041706747011539945,1.0,1.0,0.010238025463936156,0.02392459685073025,1.419056128919724,1.7432580900633623
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,10,3,0.010948905109489052,3,1.0,0.002105394009355388,-0.005738707599129533,0.007844101608484921,0.14272826501972635,-0.14062287101037096,-0.01386940147266802,-0.018667039054876433,-0.25360573583036905,0.004082328703580847,-0.009982514698658443,0.014064843402239291,0.3333333333333333,1.0,0.027852284837300595,0.01565121799751734,0.14657069347910995,0.8986420995778291
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,15,3,0.010948905109489052,3,1.0,0.000393742538051578,-0.008887930929479482,0.00928167346753106,0.14272826501972635,-0.14233452248167477,-0.023177677105341687,-0.015015318489364438,-0.25360573583036905,0.0010244762835830677,-0.015361933555941126,0.016386409839524194,0.3333333333333333,0.6666666666666666,0.025940077655902973,0.017359391868963018,0.039493955923063165,0.9439506846332316
defensive_v1,Defensive v1 Oversold Rebound,10,63,0.22992700729927007,136,2.1587301587301586,-0.005440816280444349,-0.010324914035883204,0.004884097755438854,0.14272826501972635,-0.1481690813001707,-0.26857372112542033,-0.22866385488489815,-0.25360573583036905,0.00026657259017143795,-0.000728133160892467,0.0009947057510639055,0.5238095238095238,0.5079365079365079,0.038274488721854454,0.030920619225574444,0.006964759009810808,0.03216965817557704
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,10,31,0.11313868613138686,44,1.4193548387096775,-0.01388883589645662,-0.00790882864076925,-0.00598000725568737,0.14272826501972635,-0.15661710091618297,-0.14871148084303532,-0.10748815264397171,-0.25360573583036905,-0.0018114566491747876,-0.001212491674280186,-0.0005989649748946011,0.5161290322580645,0.45161290322580644,0.03344351756765306,0.028160105713416365,-0.05416465673834646,-0.021269983180824327
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,5,2,0.0072992700729927005,2,1.0,-0.02088507073858825,-0.00210225957225052,-0.01878281116633773,0.14272826501972635,-0.1636133357583146,0.0,0.0,-0.25360573583036905,-0.05216165728182459,-0.005485344936316082,-0.04667631234550851,0.5,0.5,0.06041522170882113,0.05108279497364454,-0.863386011115284,-0.9137384195518374
v1_baseline_current,Current v1 Oversold Rebound,10,128,0.46715328467153283,244,1.90625,-0.027741756338624635,0.009203252446561061,-0.036945008785185696,0.14272826501972635,-0.170470021358351,-0.4250880341985315,-0.2493634490637292,-0.25360573583036905,-0.0005204047009807664,0.00047782262401523,-0.000998227324995996,0.5078125,0.4921875,0.03578957247822978,0.029665062252488387,-0.01454067944782856,-0.03364993191316367
