variant_id,variant_name,sector,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,Consumer Staples,1,0.010253564426996542,-0.011684295757326546,0.0014307313303294489,0.0044064826281360325,-0.005646699912214337,0.02100895648716361,0.0
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,Information Technology,1,-0.11057687899064572,0.1298076878990646,0.19831738374113606,-0.09775910731915305,0.0984123956872962,0.1390675529590626,1.0
defensive_v1,Defensive v1 Oversold Rebound,Information Technology,52,0.0123057944148479,0.021659767141184245,0.038830925671689887,0.009881062958235605,0.022424808194345166,0.03127139335540323,0.4807692307692308
defensive_v1,Defensive v1 Oversold Rebound,Consumer Discretionary,22,-0.0010920031416591168,-0.018969947904715453,-0.021741149970418792,-0.003158576051629321,-0.006153905486132518,-0.010020161010195983,0.45454545454545453
defensive_v1,Defensive v1 Oversold Rebound,Financials,21,0.012061183864159912,0.011082330485179148,0.0303409012022187,-0.0006629133124024509,-0.002026946472980824,0.011250009235848745,0.7142857142857143
defensive_v1,Defensive v1 Oversold Rebound,Industrials,15,0.014097382914860757,0.007415980044974405,0.017255407852310847,-0.0007822957717547559,0.0036590219559801945,0.020708052761900204,0.5333333333333333
defensive_v1,Defensive v1 Oversold Rebound,Health Care,13,-0.014897878052344481,-0.004576544230363244,-0.009418939385434862,-0.007285078677819843,0.016298615080103294,0.029100129883750624,0.46153846153846156
defensive_v1,Defensive v1 Oversold Rebound,Communication Services,10,0.005618282451236167,-0.009481889244598963,0.00887697888123402,0.005300553996008706,0.0016214360037932972,0.006620298181036932,0.4
defensive_v1,Defensive v1 Oversold Rebound,Consumer Staples,6,-0.009418074411318719,-0.03693121295132453,-0.06973369575092368,-0.014448616443819748,-0.03023311819082769,-0.05162659223369914,0.3333333333333333
defensive_v1,Defensive v1 Oversold Rebound,Real Estate,5,-0.008686714277680108,-0.023468744104774553,-0.00485819400987939,-0.010825009094097426,-0.0260178114912899,-0.018747967058715308,0.2
defensive_v1,Defensive v1 Oversold Rebound,Energy,4,0.018815936257060267,0.0006272786180521184,0.03178001358123625,0.00819031376141413,0.0023988125347973177,0.009424182621910582,0.5
defensive_v1,Defensive v1 Oversold Rebound,Materials,1,0.03201862115604981,0.051256426263257104,0.10893652567468282,0.034284731018398684,0.03949323054794829,0.046199378256637,1.0
defensive_v1,Defensive v1 Oversold Rebound,Utilities,1,-0.0371485543088198,-0.051961639889767985,-0.09593797667158865,-0.03420921828369228,0.0043579554807581244,-0.0612236665535667,0.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Financials,4,0.031477324229317816,0.06028701194405728,0.0841564244657309,0.0002747466608638005,0.012860340268900816,0.036871215716134276,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Information Technology,3,0.0036583565750948712,-0.005510388246629749,0.06394042614810387,0.0020703133791882453,-0.016468226797986096,0.019976380017362533,0.3333333333333333
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Consumer Discretionary,1,0.008689801586202917,0.022631733093591233,-0.05996942996650134,-0.008588602668314849,-0.012171924827510283,-0.08346803263461433,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Consumer Staples,1,-0.07363960016678761,-0.08655361364337866,-0.07679417121492071,-0.04170785767756591,-0.07769274229762935,-0.12240090838993334,0.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Health Care,1,-0.003368852297335967,0.039250975640808816,-0.021779996808134805,-0.01558782854253804,0.05293343959493113,0.08889622082246362,1.0
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,Industrials,1,0.04033459222855851,-0.040895493201687616,-0.028136119291263695,0.01207948437191475,0.0178673933208523,0.03275971393693622,0.0
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,Industrials,2,0.021856959330740944,0.03155202985633809,0.022734554018584152,0.028773011147154415,0.04090384392916052,0.030443169511259083,0.5
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,Health Care,1,0.005871079686422531,-0.0326100874911911,-0.030248821484920696,0.067574218740311,0.0025813725551147026,0.08659134953319958,0.0
stress_v1,Stress-Regime v1 Oversold Rebound,Information Technology,55,0.013296025076067966,0.024479070505749777,0.041564254257358324,0.011014565583130883,0.025176872786922384,0.03507155208466342,0.509090909090909
stress_v1,Stress-Regime v1 Oversold Rebound,Consumer Discretionary,22,-0.0010920031416591168,-0.018969947904715453,-0.021741149970418792,-0.003158576051629321,-0.006153905486132518,-0.010020161010195983,0.45454545454545453
stress_v1,Stress-Regime v1 Oversold Rebound,Financials,22,0.011693200667945698,0.009275213044604875,0.02858739368162558,-0.0012856617211399947,-0.003687244089352312,0.008398629705043757,0.6818181818181818
stress_v1,Stress-Regime v1 Oversold Rebound,Industrials,19,0.011593713598034464,0.010209626374464239,0.016516072742512784,-3.0759750748790705e-05,0.007271552185860047,0.023204512714788662,0.5263157894736842
stress_v1,Stress-Regime v1 Oversold Rebound,Health Care,13,-0.014897878052344481,-0.004576544230363244,-0.009418939385434862,-0.007285078677819843,0.016298615080103294,0.029100129883750624,0.46153846153846156
stress_v1,Stress-Regime v1 Oversold Rebound,Communication Services,10,0.005618282451236167,-0.009481889244598963,0.00887697888123402,0.005300553996008706,0.0016214360037932972,0.006620298181036932,0.4
stress_v1,Stress-Regime v1 Oversold Rebound,Consumer Staples,6,-0.009418074411318719,-0.03693121295132453,-0.06973369575092368,-0.014448616443819748,-0.03023311819082769,-0.05162659223369914,0.3333333333333333
stress_v1,Stress-Regime v1 Oversold Rebound,Real Estate,5,-0.008686714277680108,-0.023468744104774553,-0.00485819400987939,-0.010825009094097426,-0.0260178114912899,-0.018747967058715308,0.2
