variant_id,variant_name,active_weeks,active_share,total_trades,avg_trades_per_active_week,strategy_ann_return_net,spy_exposure_ann_return_net,ann_excess_vs_spy_exposure_net,spy_buy_hold_ann_return,ann_excess_vs_spy_buy_hold,strategy_max_drawdown,spy_exposure_max_drawdown,spy_buy_hold_max_drawdown,avg_week_return_net,avg_week_exposure_spy_net,avg_week_excess_net,win_rate_week,excess_win_rate_week,return_vol_week,excess_vol_week,sharpe_like_week,information_like_week,largest_ticker_share,largest_regime_share,largest_etf_subgroup_share,friction_bps
top1_broad_supportive_trend,Top 1 Broad ETFs / Supportive Trend,133,0.4854014598540146,133,1.0,0.02384684016136429,0.010042429041588363,0.013804411119775928,0.14272826501972635,-0.11888142485836206,-0.1768841849202214,-0.15489729622663873,-0.25360573583036905,0.0011071447807887032,0.0004901079128568081,0.0006170368679318957,0.5263157894736842,0.3233082706766917,0.018600608631681437,0.008465165766063652,0.059521965259941106,0.07289129179319322,0.6691729323308271,0.9022556390977443,1.0,20
top1_broad_supportive_trend,Top 1 Broad ETFs / Supportive Trend,133,0.4854014598540146,133,1.0,-0.026567619122495834,-0.03971458610451761,0.01314696698202178,0.14272826501972635,-0.16929588414222219,-0.2651728300500108,-0.2769150793756284,-0.25360573583036905,-0.0008928552192112965,-0.0015098920871431916,0.0006170368679318956,0.5037593984962406,0.3233082706766917,0.018600608631681437,0.008465165766063652,-0.04800139806664945,0.0728912917931932,0.6691729323308271,0.9022556390977443,1.0,40
top1_sector_supportive_strict_rs,Top 1 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,118,1.0,0.06739412295626734,0.04157843154050811,0.025815691415759234,0.14272826501972635,-0.07533414206345901,-0.15843092519602142,-0.11746269047416791,-0.25360573583036905,0.0032133258246149613,0.0019170845390040958,0.0012962412856108657,0.5423728813559322,0.4915254237288136,0.024462488466334087,0.019191867589566716,0.13135727499829888,0.06754117490449663,0.3644067796610169,0.8305084745762712,1.0,10
top1_sector_supportive_strict_rs,Top 1 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,118,1.0,0.04380586243886753,0.018540270414525217,0.02526559202434231,0.14272826501972635,-0.09892240258085883,-0.17862592665381405,-0.13505770188212363,-0.25360573583036905,0.0022133258246149604,0.0009170845390040953,0.0012962412856108657,0.5254237288135594,0.4915254237288136,0.024462488466334087,0.019191867589566716,0.09047835945476262,0.06754117490449663,0.3644067796610169,0.8305084745762712,1.0,20
top1_sector_supportive_strict_rs,Top 1 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,118,1.0,-0.0018852779053385449,-0.02608400756626117,0.024198729660922624,0.14272826501972635,-0.1446135429250649,-0.25773747126271984,-0.23107875996836813,-0.25360573583036905,0.0002133258246149602,-0.0010829154609959051,0.0012962412856108657,0.4915254237288136,0.4915254237288136,0.024462488466334087,0.019191867589566716,0.008720528367690179,0.06754117490449663,0.3644067796610169,0.8305084745762712,1.0,40
top2_all_supportive_balanced,Top 2 All ETFs / Supportive Balanced RS,153,0.5583941605839416,298,1.9477124183006536,0.061377157389121084,0.03885999065403034,0.022517166735090743,0.14272826501972635,-0.08135110763060527,-0.12349852420131402,-0.11475793769654752,-0.25360573583036905,0.0022602643051423473,0.001413673429960123,0.0008465908751822245,0.5620915032679739,0.45098039215686275,0.020387174736176784,0.014668435761561488,0.11086697074958292,0.05771514351930481,0.26174496644295303,0.8523489932885906,0.7818791946308725,10
top2_all_supportive_balanced,Top 2 All ETFs / Supportive Balanced RS,153,0.5583941605839416,298,1.9477124183006536,0.03104189435739646,0.009149757959213911,0.02189213639818255,0.14272826501972635,-0.11168637066232989,-0.16471237352508006,-0.1286840903070101,-0.25360573583036905,0.0012602643051423464,0.0004136734299601229,0.0008465908751822245,0.5032679738562091,0.45098039215686275,0.020387174736176784,0.014668435761561488,0.061816525411244126,0.05771514351930481,0.26174496644295303,0.8523489932885906,0.7818791946308725,20
top2_all_supportive_balanced,Top 2 All ETFs / Supportive Balanced RS,153,0.5583941605839416,298,1.9477124183006536,-0.027137068972448497,-0.04782895261733455,0.020691883644886055,0.14272826501972635,-0.16986533399217485,-0.33844843518923096,-0.3085348605585637,-0.25360573583036905,-0.000739735694857653,-0.0015863265700398772,0.0008465908751822243,0.45751633986928103,0.45098039215686275,0.020387174736176784,0.014668435761561488,-0.03628436526543334,0.0577151435193048,0.26174496644295303,0.8523489932885906,0.7818791946308725,40
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,124,0.45255474452554745,209,1.685483870967742,0.05797548930516383,0.03374798038466342,0.024227508920500407,0.14272826501972635,-0.08475277571456252,-0.14686118479982824,-0.11746269047416791,-0.25360573583036905,0.00263781447313235,0.001510082724616608,0.0011277317485157419,0.5564516129032258,0.46774193548387094,0.021974675080775066,0.015827883366707114,0.12003883850096554,0.07124968780651048,0.24401913875598086,0.84688995215311,0.784688995215311,10
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,124,0.45255474452554745,209,1.685483870967742,0.033409231930009664,0.009724236689595323,0.02368499524041434,0.14272826501972635,-0.10931903308971669,-0.1630652992319206,-0.13505770188212363,-0.25360573583036905,0.001637814473132349,0.0005100827246166077,0.0011277317485157419,0.5241935483870968,0.46774193548387094,0.021974675080775066,0.015827883366707114,0.07453190853161784,0.07124968780651048,0.24401913875598086,0.84688995215311,0.784688995215311,20
top2_all_supportive_strict_rs,Top 2 All ETFs / Supportive Strict RS,124,0.45255474452554745,209,1.685483870967742,-0.014094762738943056,-0.03672935332959182,0.022634590590648762,0.14272826501972635,-0.1568230277586694,-0.28065435788392523,-0.2607819039722107,-0.25360573583036905,-0.0003621855268676522,-0.0014899172753833918,0.0011277317485157417,0.47580645161290325,0.46774193548387094,0.021974675080775066,0.015827883366707114,-0.016481951407077533,0.07124968780651046,0.24401913875598086,0.84688995215311,0.784688995215311,40
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,176,1.4915254237288136,0.08382023712337539,0.04157843154050811,0.042241805582867276,0.14272826501972635,-0.05890802789635097,-0.14575789813812134,-0.11746269047416791,-0.25360573583036905,0.0038563155179450154,0.0019170845390040958,0.0019392309789409198,0.5932203389830508,0.5,0.022700637422277282,0.016883101805255547,0.1698769706863217,0.11486224517921557,0.3068181818181818,0.8181818181818182,1.0,10
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,176,1.4915254237288136,0.05988609970320091,0.018540270414525217,0.041345829288675695,0.14272826501972635,-0.08284216531652544,-0.1619819180183948,-0.13505770188212363,-0.25360573583036905,0.0028563155179450145,0.0009170845390040953,0.0019392309789409198,0.559322033898305,0.5,0.022700637422277282,0.016883101805255547,0.12582534423205086,0.11486224517921557,0.3068181818181818,0.8181818181818182,1.0,20
top2_sector_supportive_strict_rs,Top 2 Sector ETFs / Supportive Strict RS,118,0.4306569343065693,176,1.4915254237288136,0.013523920117142207,-0.02608400756626117,0.03960792768340338,0.14272826501972635,-0.12920434490258415,-0.19355834805248762,-0.23107875996836813,-0.25360573583036905,0.0008563155179450142,-0.0010829154609959051,0.0019392309789409195,0.5084745762711864,0.5,0.022700637422277282,0.016883101805255544,0.037722091323509205,0.11486224517921559,0.3068181818181818,0.8181818181818182,1.0,40
