variant,date,portfolio_label,count,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return
strict_rs_entry,2023-04-28,top5,5,0.02101144043170633,0.021760828068837012,0.03626587242798525
strict_rs_entry,2023-05-05,top2,2,0.0026964644966242513,0.04095403122525432,0.15180030166352926
strict_rs_entry,2023-05-05,top5,5,-0.0010944542245258314,0.0448935789754592,0.09387791154192589
strict_rs_entry,2023-05-12,top2,2,0.008395525419576333,-0.014985592014089444,-0.003033185358344681
strict_rs_entry,2023-05-12,top5,5,-0.002347716519260845,-0.03683655171490983,-0.02283283657062134
strict_rs_entry,2023-05-19,top2,2,0.05655976070358992,0.07927470889369281,0.09026658496279594
strict_rs_entry,2023-05-19,top5,5,0.06053995734762112,0.08947173175820114,0.10307082080070859
strict_rs_entry,2023-05-26,top2,2,0.022624331160114863,0.012886794158808279,0.03623329022468269
strict_rs_entry,2023-05-26,top5,5,0.021771257418626754,0.013729826867073202,0.02461120039022402
strict_rs_entry,2023-06-02,top2,2,-0.009068371687714016,0.004158855795495409,0.017820745719360653
strict_rs_entry,2023-06-02,top5,5,-0.013942719921881563,0.008919952068302739,-0.004926608044474002
strict_rs_entry,2023-06-09,top2,2,0.03308512543484071,-0.013064159719932467,0.042656511387958285
strict_rs_entry,2023-06-09,top5,4,0.05609635359786683,0.001922342242335534,0.034929992293813356
strict_rs_entry,2023-06-16,top2,2,-0.045314126665675136,0.01577104033104826,0.01757846881709102
strict_rs_entry,2023-06-16,top5,5,-0.022428900920726157,0.01317396175268295,0.033787844556219596
strict_rs_entry,2023-06-23,top2,2,0.01405606828399486,0.01684530798575784,0.0821757850766468
strict_rs_entry,2023-06-23,top5,5,0.006930651832901336,0.008075113763808183,0.0638367762020644
strict_rs_entry,2023-06-30,top2,2,0.02255139660170058,0.059676050811024006,0.03231170109710413
strict_rs_entry,2023-06-30,top5,4,0.013876828451478473,0.04542623769212806,0.013679893841000185
strict_rs_entry,2023-07-07,top2,2,0.017010960437184863,-0.03835213550595912,-0.028618171003679194
strict_rs_entry,2023-07-07,top5,4,0.017136142324869652,-0.017488183243765804,-0.006642648618835761
strict_rs_entry,2023-07-14,top2,2,0.037480281877796506,0.051069719294668636,-0.0072988967973950936
strict_rs_entry,2023-07-14,top5,5,-0.019447103496628815,0.005044364250906508,-0.04652448624582652
strict_rs_entry,2023-07-21,top2,2,0.02791745835361581,0.010919184828477757,-0.0059921523060526005
strict_rs_entry,2023-07-21,top5,5,0.015640863160457142,-0.017600900426994314,-0.03024987583722958
strict_rs_entry,2023-07-28,top2,2,0.008112923212173828,-0.0752167786537335,-0.12103386823009205
strict_rs_entry,2023-07-28,top5,5,-0.00735318399742797,-0.050840921322695375,-0.10754696210329664
strict_rs_entry,2023-08-04,top2,2,0.011998024033631483,-0.014585067633024917,-0.003170050770432309
strict_rs_entry,2023-08-04,top5,5,0.012531212457672969,-0.02079354806252587,-0.020068033698001298
strict_rs_entry,2023-08-11,top2,2,-0.008269242578934854,-0.018322558328682126,0.02304889311346303
strict_rs_entry,2023-08-11,top5,5,-0.008483434811635982,-0.012571418924874478,0.02040995633379723
strict_rs_entry,2023-08-18,top2,2,0.015652170340675453,0.0417738469847867,0.03895327049236408
strict_rs_entry,2023-08-18,top5,3,0.0035088994830609157,0.021343469443284135,0.025841525297155183
strict_rs_entry,2023-08-25,top2,2,0.02576473260838552,0.022933118060678104,0.013768514429960743
