variant_id,variant_name,action_role,ticker,sample_size,avg_fwd_15d_return,avg_excess_15d_return,win_rate_15d
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,NOW,20,0.023300237695708485,0.015450000422605987,0.65
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AVGO,18,0.06583670250695325,0.04475432692052675,0.8333333333333334
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,CAT,17,0.02886554506203845,0.02851885917320832,0.5882352941176471
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AMZN,16,-0.02526926886760219,-0.0251392757277156,0.4375
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,QCOM,16,-0.03474234821781284,-0.02534710523712596,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,UBER,16,0.0405083980066689,0.020359370574493843,0.625
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,ORCL,15,-0.004596756509653144,-0.0009041655952375456,0.5333333333333333
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,CRM,14,-0.015348077681526835,-0.005931815545326339,0.42857142857142855
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,NVDA,14,0.05162508758102418,0.04542934960182781,0.6428571428571429
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,C,13,-0.0012111457385439643,-0.0033066327533463912,0.5384615384615384
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GE,13,0.0033540834443780165,-0.00021069926533085354,0.46153846153846156
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GS,13,0.043317618812330566,0.04352514977056357,0.6153846153846154
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MS,13,-0.016685394395826742,-0.015026239762093444,0.5384615384615384
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MU,13,0.033562926065520186,0.013769384759824673,0.5384615384615384
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,COF,12,-0.035112452420731015,-0.020518406766555187,0.4166666666666667
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,LLY,10,0.005917419333044282,0.01153346728251472,0.6
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,SCHW,10,0.009058971408629901,0.006625876185491764,0.6
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,USB,10,0.01102794783829869,-0.0075965807058721805,0.6
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,WFC,10,-0.04198427509052285,-0.03659007089103326,0.1
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AMD,9,0.08131967408918611,0.0644822133751029,0.6666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,DE,9,0.024970290557072252,0.023963408566186704,0.6666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,ISRG,9,-0.036112892690480965,-0.02201258783343856,0.4444444444444444
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BNY,8,0.01615558760595462,0.013748370827873654,0.75
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,CVS,8,0.007447972094534794,0.013182341294644892,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,FDX,8,0.04264458753228782,0.04270769555508418,0.625
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GM,8,-0.053012541488281356,-0.06401300839551105,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,INTC,8,0.014334088640060375,0.002559196843927969,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,INTU,8,0.02385537252320205,0.02457534643939399,0.75
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,PFE,8,-0.0020254326954275564,0.007350713127456485,0.375
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,TMO,8,-0.019586957120678955,-0.004170673224323587,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,TSLA,8,0.047900883511661885,0.04417574662701883,0.375
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,TXN,8,-0.005013981567785097,-0.01231641602760232,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,ADBE,7,0.028640584342050142,0.019302801774744954,0.2857142857142857
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AMGN,7,0.0016560644697564924,0.007293527175327116,0.5714285714285714
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BA,7,0.00040730100429621697,-0.01286433428743142,0.42857142857142855
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,IBM,7,0.041355353476146904,0.03019443938092476,0.7142857142857143
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MMM,7,-0.002137040284651543,-0.0025710086162029472,0.5714285714285714
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MRK,7,0.047907896673506,0.04484656715370456,0.8571428571428571
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AAPL,6,0.033533614993089746,0.0188651357210185,0.8333333333333334
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,ACN,6,-0.11081480743017379,-0.0759337161694079,0.16666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BAC,6,-0.026957776364438413,-0.02140659218708313,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,JPM,6,0.010476631152909902,0.005639448770373793,0.6666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MA,6,-0.004223950707812211,-0.020719338973469097,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,UNH,6,-0.03916332998369435,-0.05074990013091052,0.16666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,CSCO,5,0.027692050315349583,0.029632411218835687,0.8
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GEV,5,0.04452536773158271,0.041978644681423226,0.6
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MSFT,5,0.003971077597928185,-0.0012216185290651494,0.4
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,RTX,5,0.04197125747279249,0.04999160605941037,1.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,SBUX,5,-0.0029219514373238333,-0.022527751946775587,0.4
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,AXP,4,0.029618814291897583,0.005467891938754993,0.75
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BLK,4,0.005356226709010203,0.0007531383250712897,0.75
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,COP,4,0.020029616906853898,0.017450308768045847,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GD,4,0.001293283577209814,0.005641524198951614,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,GILD,4,0.04811367172094605,0.07074077651073271,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,LOW,4,-0.019187286684677007,-0.004816229570296315,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,MDT,4,-0.03171663853004,-0.018260371806147563,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,NKE,4,-0.007381298658656915,-0.0186467309252564,0.25
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,PLTR,4,0.192908154365247,0.1708372082439399,1.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BKNG,3,-0.012942231484404506,-0.01722506232801931,0.3333333333333333
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,EMR,3,-0.007786555183033468,-0.007075402719699864,0.3333333333333333
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,HON,3,0.03500887179441444,0.05169421927401422,0.6666666666666666
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,UNP,3,-0.04312513618269501,-0.0037598188240665817,0.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,UPS,3,-0.033664494501165966,-0.015415589643399988,0.3333333333333333
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BMY,2,0.020103658479814157,0.03713854971283276,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,CVX,2,0.03237625251752452,0.058393201961467744,1.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,DHR,2,-0.03751625237113204,-0.015948562874470162,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,HD,2,0.07189584933073867,0.024671200731104515,1.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,JNJ,2,0.016656841763058927,0.00909901278846964,1.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,LMT,2,0.011156718540578592,0.05029615881988886,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,XOM,2,0.04616275550102722,0.04106727405093469,0.5
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,ABBV,1,-0.009383568526870278,-0.029678092402476097,0.0
mid_depth_low_extension,Mid-Depth Low-Extension Pullback,live_buy_pullback,BRK-B,1,0.0069697637083749875,-0.010350239889223234,1.0
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AMAT,28,0.014567928185281956,0.013730892708979345,0.5357142857142857
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,LRCX,26,0.038492961676798644,0.0267110790150609,0.6538461538461539
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,NVDA,26,0.005093237935054016,0.007469140446309291,0.5
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AVGO,23,0.05449000523332894,0.03940819678200589,0.8260869565217391
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,NOW,20,0.019259167032414204,0.012918856934810069,0.6
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AMD,17,0.033514957728346194,0.02806496244731774,0.5294117647058824
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MU,17,0.03018663369678595,0.018472139856324076,0.47058823529411764
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,CAT,16,0.03638569440167254,0.031105730095581395,0.6875
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,QCOM,16,-0.0340671662268343,-0.02866724441567027,0.25
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AMZN,15,-0.022659512112257776,-0.02547114955526976,0.4666666666666667
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,CRM,15,-0.00763146237882019,0.0017403262821332089,0.4666666666666667
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,INTC,14,0.025948039061481236,0.01067746878670597,0.35714285714285715
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,ORCL,14,-0.019892615182919366,-0.014552365559110048,0.5
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,C,13,-0.0009478294772918667,-0.0015126509863962595,0.5384615384615384
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,UBER,13,0.03337339785371003,0.013891587439083518,0.5384615384615384
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,COF,12,-0.020610123427380223,-0.012954456432950364,0.4166666666666667
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MS,12,-0.021029228686584134,-0.02141639546826188,0.5
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,GM,11,-0.02244219654795764,-0.03784527601992072,0.36363636363636365
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,TSLA,11,0.025610824774456045,0.02922527997299146,0.2727272727272727
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,BA,10,-0.02090312570684886,-0.037631316840629606,0.3
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,PLTR,10,0.07392518135758162,0.05696714190175748,0.7
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,USB,10,-0.0014058972125627345,-0.012807240809489884,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,ADBE,9,-0.0061057190882569425,-0.004813424514564297,0.2222222222222222
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,GE,9,-0.00609506692458433,-0.013510659206512128,0.5555555555555556
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,GS,9,0.05344500674478092,0.03758869362759746,0.7777777777777778
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,INTU,9,0.03161421988985332,0.02811266026990748,0.7777777777777778
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,DE,8,0.020104533247018955,0.019207540631802314,0.75
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,LLY,8,0.01772636278873757,0.026160761829170362,0.625
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,SCHW,8,0.015623400041124433,0.005340569558084332,0.625
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,WFC,8,-0.047289525548196154,-0.036011417267023546,0.0
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,BLK,7,-0.007374160824311479,-0.004279865744070037,0.42857142857142855
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MRK,7,0.04044370686473301,0.034860529414360894,0.8571428571428571
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,PFE,7,-0.018013950435322994,-0.017929813293895376,0.2857142857142857
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,TMO,7,-0.033883817338451805,-0.00969280055448772,0.42857142857142855
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,TXN,7,-0.003799559156585919,-0.009019101378902208,0.2857142857142857
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,ACN,6,-0.11081480743017379,-0.0759337161694079,0.16666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,CVS,6,0.020494530206177308,0.029619057479147632,0.3333333333333333
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,FDX,6,0.06616695757469167,0.06110077940401639,0.8333333333333334
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,ISRG,6,-0.018032928791238672,-0.0008176298147514564,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MMM,6,0.0047620052425240145,0.02109805795016419,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AAPL,5,0.037303759917278786,0.02313958051361358,0.8
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AMGN,5,-0.01180228589234047,-0.0005503293690440226,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,AXP,5,0.05051836815107909,0.025327000212064087,0.8
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,BAC,5,-0.024552403507046794,-0.027443634706372434,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,BNY,5,0.015700636946844516,0.012594355828966775,0.8
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,GEV,5,0.04928106707228765,0.035176921002626635,0.6
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,IBM,5,0.023262133286223664,0.016593511887621683,0.6
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MSFT,5,0.003971077597928185,-0.0012216185290651494,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,NKE,5,-0.0011582438621235759,-0.013229952728565243,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,UNH,5,-0.016867634806199017,-0.029420683199302845,0.4
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,GD,4,0.0033563311836539433,0.01176499627681818,0.5
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,JPM,4,0.01165173222383678,0.0066748974214037304,0.75
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,LOW,4,-0.019187286684677007,-0.004816229570296315,0.25
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MA,4,-0.016323590174812802,-0.019398739965256456,0.25
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,UPS,4,0.034021033499714776,0.0324418766124841,0.5
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,COP,3,0.012014916551340127,0.010315230563504843,0.3333333333333333
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,CSCO,3,0.002125085625652131,0.028711125468416292,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,DHR,3,-0.011778929500479726,0.015689110193178275,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,HON,3,0.0342618881947474,0.04156240154720211,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,LMT,3,0.037476283371643104,0.06368366242664725,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,MDT,3,0.01551282575136829,0.014052306645441734,0.6666666666666666
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,RTX,3,0.03820908403507802,0.049412651578928414,1.0
risk_on_confirmed_controlled,Risk-On + Confirmed Controlled Pullback,live_buy_pullback,SBUX,3,-0.037059467281329105,-0.05597533842012059,0.0
