strategy_id,strategy_name,sector_confirmation,pullback_depth_band,extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,3-6%,0-2%,190,-0.0009482454089602559,0.0008437412648569757,0.0026131065542829178,-0.0017310092090618804,-0.0005320281908220105,5.99441840660987e-05,0.5052631578947369,0.5421052631578948,0.48947368421052634
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,3-6%,2-4%,206,0.0028056441289599147,0.011287285637936444,0.009490646345575882,0.0005764291049007582,0.00570417686310973,0.004308909714112267,0.5048543689320388,0.5388349514563107,0.529126213592233
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,3-6%,4-6%,242,0.007956781843846641,0.007033523031183303,0.01648159619803075,0.004152949168662235,-0.00036017639921305696,0.006331704164434637,0.5826446280991735,0.5371900826446281,0.5950413223140496
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,3-6%,<-2%,2,0.00720701177075439,-0.030205424725582908,-0.023151438161570947,0.012643883578798254,-0.0026606162663910804,-0.006713796743553713,0.5,0.0,0.0
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,6-10%,-2% to 0%,26,0.006584116546682437,0.0077709222367819365,0.0030786577949911474,0.002236098223986691,0.006968338882660143,-0.0017866668725906331,0.5769230769230769,0.5384615384615384,0.5
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,6-10%,0-2%,23,0.00360015414292607,0.003617722605093772,-0.017370859004419485,-0.0020875054470694578,-0.001226294224943595,-0.018546508538814815,0.6086956521739131,0.391304347826087,0.30434782608695654
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,6-10%,2-4%,34,0.004826947981756796,0.00031108718062626957,-0.004495659399869025,-0.0062216693896389105,-0.005371995593054467,-0.009340498165501865,0.5588235294117647,0.47058823529411764,0.4411764705882353
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,6-10%,4-6%,56,0.009244256333973213,0.015982627750295835,0.009780913351990718,-0.0004906677036471843,0.007202312811252816,0.001167859218480233,0.5357142857142857,0.5714285714285714,0.5
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Confirmed,6-10%,<-2%,4,-0.001155190827891367,0.061012002283190536,0.019430435293986553,-0.006557833817144171,0.06687046592447868,0.018062467617878303,0.5,0.5,0.25
sector-confirmed-pullback-continuation,Sector-Confirmed Pullback Continuation,Unavailable,0-3%,-2% to 0%,38,-0.0029071056763951596,-0.007855904065162815,-0.011989718694554837,-0.008139742453335933,-0.01684868759081068,-0.02249221144977285,0.42105263157894735,0.39473684210526316,0.3684210526315789
